Artist,Title,Year,URL
Kick Buttowski,Intro,2010,https://youtu.be/JVPXUXwXhPY?si=2SfpSuQNtJxBwmgE
Bär im großen blauen Haus,Intro,1998,https://youtu.be/u4fqVpKK8vE?si=EgJlhaYzgbUNKGtd
Bibi Blocksberg,Intro,1988,https://youtu.be/dtkbcn3LCf0?list=PLc6OoqL0xc0aKOQunbVrG9xlSfkTeflhe&t=20
Captain Planet,Intro,1990,https://youtu.be/-79HMqwz9NQ?si=yYpSfPmBxATpT7K0
Thundercats,Intro,2011,https://youtu.be/HcGNqrAtsgg?si=QCYYlpLym-sc7uw1
My little Pony,Intro,1986,https://youtu.be/ajArQDXqt6g?si=W8l4pyR9XB1YNS8y
Sendung mit der Maus,Intro,1971,https://youtu.be/iHLJJ3vAxD4?si=NrP7WKMPvleO3d8H
Sailor Moon,Intro,1992,https://youtu.be/DnkxOqMfxt0?si=kagYEa3QbBVxQsHV
Conni,Intro,2011,https://youtu.be/kDt5CbwdQLI?si=pHePVZjtKpQsGTHA
Der Li-La-Launebär,Intro,1988,https://youtu.be/4YaBbSWKQXg?si=SIDmBnSWdpKtcZeA
Zig & Sharko,Intro,2010,https://youtu.be/deir3mr19MA?si=_DGs3kEp-w3OqDAi
Es war einmal der Weltraum,Intro,1982,https://youtu.be/hPzXPM5P_LY?si=OY-9mNmVnceJ_rz6
Inspector Gadget,Intro,1983,https://youtu.be/17tlrwVnzSo?si=sDWbxvu30N1l3Kuv
Kinder vom Berghof,Intro,1983,https://youtu.be/-XFGm69jANY?si=TtgWb3WoaqDZNi02
McGyver,Intro,1985,https://youtu.be/EoMh3gkRg0w?si=AyPgXc9bDIigeYoN
A-Team,Intro,1983,https://youtu.be/yS1JrWBTzOU?si=ZJ-em0bZ5toJCAou
Berverly Hills 90210,Intro,1990,https://youtu.be/yS1JrWBTzOU?si=lWwBP6C5S2v8rVOD
Captain Future,Intro,1977,https://youtu.be/dcjhpETolG0?si=cel_Lrd7Z6Kl18RK
Magnum,Intro,1980,https://youtu.be/3CquMO3vJvo?si=0cbgi02qz92QnQBw
Siebenstein,Intro,1988,https://youtu.be/E44nhqK6170?si=MdEZf0n2_5Y7h8dL
Wickie und die starken Männer,Intro,1972,https://youtu.be/tQoZRNU5RTg?si=d-wutfh6QQdmvx0d
Die Waltons,Intro,1972,https://youtu.be/cCuP9kFmGDQ?si=y4jsIlViE9YXW3qc
Väter der Klamotte,Intro,1973,https://youtu.be/kyMvTrvO8bA?si=35PWnXLG2Deo95T-
Tatort,Intro,1970,https://youtu.be/k0pV2faxne4?si=4bqi1u1jIwd0B3h6
Rauchende Colts,Intro,1955,https://youtu.be/F2U4vhTUoUY?si=5ym9Bv9kEoLmWo49
Knight Rider,Intro,1982,https://youtu.be/Hm3AFz4wrw4?si=pnXEjqjHSR6ilsU3
Alf,Intro,1986,https://youtu.be/wGtp5y6weMs?si=wCgAIZ-CewNEfSxS
Full House,Intro,1987,https://youtu.be/KIdShs7vuJU?si=vDzpWdleMzY412Oh
Baywatch,Intro,1989,https://youtu.be/OCKhCjT6qpU?t=23
Lassie,Intro,1954,https://youtu.be/l457Eg33qJ4?si=7nR7eXOSrRmbfw7S
Pippi Langstrumpf,Intro,1968,https://youtu.be/88AuLPa95Gs?si=ATKE8qRGzcY5prjV
Auf Achse,Intro,1977,https://youtu.be/xfUnDCWL7oo?si=X27dy6S0JySLft77
Raumpatrouille Orion,Intro,1966,https://youtu.be/6HyHPhmzu60?si=Wmnc8rleTM0FmiqG
Mit Schirm Charme und Melone,Intro,1961,https://youtu.be/XEfAKPd1ecM?si=yNvZYjUqDQYQJqOW
Battlestar Galactica,Intro,1978,https://youtu.be/vzyHxYxc-Mo?si=8hwS4bYSJCfJEE88
Columbo,Intro,1968,https://youtu.be/aKllq_xIRY8?si=_Cd04kfjM9BKHU4q
Star Trek: Next Generation,Intro,1987,https://youtu.be/HnDtvZXYHgE?si=d4cB0i89HWKYHBlg
Alle unter einem Dach,Intro,1989,https://www.youtube.com/watch?v=n4TtbJGOqaA&list=PL562DQ2tfsZcxc3oEWsc4LPXDMPMGIcOx&t=2s
Bill Cosby Show,Intro,1984,https://youtu.be/UsddoySxOJo?si=XRpPk57TqCBa_s1P
Ein Käfig voller Helden,Intro,1965,https://youtu.be/nlvFs95xRD8?si=JVJR-ngom_CF6zJI
Der Alte,Intro,1977,https://youtu.be/rCL4Of1bWqg?si=moRXwCDm-cPY4YiN
Starsky and Hutch,Intro,1975,https://youtu.be/gsJ4pALlbEM?si=Rq2LNm3pX46jvujr
Daktari,Intro,1966,https://youtu.be/eV8letCcAyw?si=ppmPXDgl-42LHsxS
Cannon,Intro,1971,https://youtu.be/MQaNeIecJkE?si=rOE1qIbp8NKkLCXE
Pan Tau,Intro,1965,https://youtu.be/xbLQ305YFMU?si=JMgQ7_W8NHhwXblV
Hör mal wer da hämmert,Intro,1991,https://youtu.be/MUEe8p-idxc?si=-2dCaei5jja5IeKN
Familie Heinz Becker,Intro,1992,https://youtu.be/t8Sj2mizqsY?si=A3qB5QqGvPYFNmtM
Raumschiff Enterprise,Intro,1965,https://youtu.be/awH9FvLZUCo?si=v3TaJem7q8VwUGUA
Airwolf,Intro,1984,https://youtu.be/uY5ogQ-kZrY?si=uqP-95jLaHaTQKX-
Ein Colt für alle Fälle,Intro,1981,https://youtu.be/Tj4Kni9x0dI?si=3j-hdE2MqY6CJjCW
Walker Texas Ranger,Intro,1993,https://youtu.be/nKebLNk04is?si=5QFbT3cIM2FpYDY_
Lindenstraße,Intro,1985,https://youtu.be/t3l4-HtcL74?si=gfBB081p44MKiDcA
The Twilight Zone,Intro,1985,https://youtu.be/2Znqt2b8CKQ?si=19Cvz272Mp6M5Qfp
Neues aus Uhlenbusch,Intro,1977,https://youtu.be/JBOaLqByW7A?si=4SIyWYBRAY34msgL
Star Trek Voyager,Intro,1995,https://youtu.be/Z_OylbFmMJU?si=vZbdjz03NlUSMF3P
Das Feuerrote Spielmobil,Intro,1972,https://youtu.be/QzDT7vBGb5E?si=G4EYYNr3m7lvFq02
Sesamstraße,Intro,1972,https://youtu.be/GF5uhyokdI8?si=qeXUBuhzL8vxLf4R
Sandmännchen (West),Intro,1959,https://youtu.be/GF5uhyokdI8?si=qeXUBuhzL8vxLf4R
Herr Rossi sucht das Glück,Intro,1960,https://youtu.be/JV21cSWSOc4?si=qz9Bqci9bY06X5QP
Sindbad,Intro,1975,https://youtu.be/BAsY9H5AYlk?si=3gr6fOUeZo6JfF-G
Eine schrecklich nette Familie,Intro,1978,https://youtu.be/EpIvvU9XYYk?si=vIEWZrSXujoEgXTu
Fraggle Rock,Intro,1983,https://youtu.be/94Td10o2jpk?si=LiuGJvhOerckq8GC
King of Queens,Intro,1998,https://youtu.be/p3SMEI0ngrQ?si=99nRLDWnLgxW0yxf
Forsthaus Falkenau,Intro,1989,https://youtu.be/ZmUlKPthrag?si=L_8IvL_BYyx2K392
21 Jump Street,Intro,1987,https://youtu.be/x3kwPbjBLgY?si=FYjqU13oUVKP5WmI
Dr.Snuggles,Intro,1979,https://youtu.be/x3kwPbjBLgY?si=FYjqU13oUVKP5WmI
The Benny Hill Show,Intro,1955,https://youtu.be/za3pqpM61HE?si=NvXsdHtxrkcSgIPn
Akte X,Intro,1993,https://youtu.be/1XSaGLLyEDg?si=LJINPFz0kx1qFONl
Simpsons,Intro,1989,https://youtu.be/GK523LEqMH8?si=5JZqEHi7_0DNHPbe
Addams Family,Intro,1964,https://youtu.be/71S9XnBwZ0E?si=-9B1RfnvsmB1J5Is
Drei Engel für Charlie,Intro,1976,https://youtu.be/RAV-asHJES0?si=1rwGRneTEsrRmuxe
Sex & the City,Intro,1998,https://youtu.be/znn1lM99O4I?si=8KlsC6XjwQFBIcHS
Desperate Housewives,Intro,2004,https://youtu.be/znn1lM99O4I?si=eVWAadnCDG2i-S6m
Prison Break,Intro,2005,https://youtu.be/kvCt7vjifY4?si=YGsaIFopXZhakm_H
Game of Thrones,Intro,2011,https://youtu.be/gFP18GoohLw?si=gHkKQu_aTYok-miD
Seinfeld,Intro,1989,https://youtu.be/MGQR6TZZVzk?si=mKZSPnl458XvgUfm
Miami Vice,Intro,1984,https://youtu.be/aTdJiHvMOSc?si=4lxaCmP-yvgRTi0z
Monty Python's Flying Circus,Intro,1969,https://youtu.be/Ntqo08-fY-0?si=S8PwB8lOcZ7zmikA
Dexter,Intro,2006,https://youtu.be/EuvLpeQQotE?si=n1LaV7Y0ia-smNpN
Geschichten aus der Gruft,Intro,1989,https://youtu.be/mwwEH2lCsBA?si=iqNHCHLlRYAOKBWk
Die Nanny,Intro,1993,https://youtu.be/9OQ2yMjcKQw?si=nKFsqXSYGygJwMJJ
Muppet Show,Intro,1976,https://youtu.be/KEACSGkRSDY?si=pYNdtcgnQRThOeDm
M.A.S.H.,Intro,1972,https://youtu.be/-eMvHk4YMRw?si=Va5KXMYZgYE8JZD2
Wer ist der Boss,Intro,1984,https://youtu.be/bfCzoDh1RZI?si=oRMO-AviiTGorYEM
The Office,Intro,2005,https://youtu.be/LiB4ZGdaH5Q?si=P5Mc1YmSUxsSLpuv
Roseanne,Intro,1988,https://youtu.be/VjyVeMmfdAY?si=QRcZ6UJqLoUldtEb
Dick und Doof,Intro,1921,https://youtu.be/bNvVtuazFCc?si=gGNFWiCvXLjCCoWz
Buffy,Intro,1997,https://youtu.be/JCoFnp3OLiA?si=RBP87ZIQ0df8xh48
Futurama,Intro,1999,https://youtu.be/-X7hXT33YyQ?si=Vej4prA5sGu39QyS
Bonanza,Intro,1959,https://youtu.be/BPlmqixhqJo?si=lAKU7fKfVUXSbMzn
Chuck,Intro,2007,https://youtu.be/Jk9-YIxrXwU?si=LYysxSZhQRjITlhm
Hawai-Five-O,Intro,2010,https://youtu.be/mz7LlDPO9HQ?si=6IqK4sM0blQrOAhH
Superman - Abenteuer  von Lois & Clark,Intro,1993,https://youtu.be/s2QD1H7vKbQ?si=ZsUeU4pqv7aAmR4y
Pingu,Intro,1986,https://youtu.be/uCwnJRKXOkw?si=rPZv9fdzOb3kyLxg
Tutti Frutti,Intro,1987,https://youtu.be/2MEMYyW9Vm0?si=Hn89oKDctl-y2xpD
Teletubbies,Intro,2015,https://youtu.be/TIIWPACxHDU?si=2REgqeRJonHUiK-P
Scooby Doo,Intro,2002,https://youtu.be/0_C2HJvtRDY?si=CQQ2xbqqUZ39J8Z_
Teenage Mutant Hero Turtles,Intro,1987,https://youtu.be/h8UQqxBIs5o?si=N_ZQBErnK1nE9j-X
Alvin und die Chipmunks,Intro,1983,https://youtu.be/Bz7re7WitNg?si=d-91fHiCSHvennr6
Sabre Rider,Intro,1984,https://youtu.be/_3s8KkX4BI0?si=yfI10dW_ms3VXi1f
Bravestarr,Intro,1987,https://youtu.be/rUjDP3qsQjU?si=5M1Vi-MmC0FYub2M
Thundercats,Intro,1985,https://youtu.be/_7lqOTrtCiU?si=gw3L10Hehq89mCYg
Gargoyles,Intro,1994,https://youtu.be/hhdSxcvCYZ0?si=vZ5OTJyOvFB5cGRy
Mighty Ducks,Intro,1996,https://youtu.be/RgIQAqOXDfc?si=8VQcNYksEfX08It-
David der Kabauter,Intro,1985,https://youtu.be/KyIgWmNqzig?si=NcNMHRD6kKsuMlDz
Spiderman,Intro,1967,https://youtu.be/xsx3JCw62WQ?si=D8Z9oHMSxWGpGicp
Police Academy,Intro,1988,https://youtu.be/YOE0F4i7GK8?si=KUqp3Tdl4SbuTr97
Graf Duckula,Intro,1988,https://youtu.be/SyRsYtJxKvw?si=aCkQ4FGc0Ydd63Cw
Popeye Show,Intro,1978,https://youtu.be/RnsVsnM9auA?si=kv6oxuNBozRRO9a2
Familie Feuerstein,Intro,1960,https://youtu.be/-rTj6VHyHAU?si=pP3THnfDxyQ8azMD
